Name,CriticRate,CriticNum,UserRate,UserNum
1849,60,"6","
5.5
    ",4
"""Glow Ball"" - The billiard puzzle game",0,0,0,0
//N.P.P.D. RUSH//- The milk of Ultraviolet,0,0,"
4.4
    ",7
10 Second Ninja,72,"
    13
","
7.4
    ",15
100% Orange Juice,0,"
    1
","
7.3
    ",20
1001 Spikes,80,"
    4
","
6.9
    ",16
1953: 0TO vs Warsaw Pact,0,0,0,0
1954 Alcatraz,58,"
    24
","
6.3
    ",36
1HEART,0,0,0,0
1Quest,0,0,0,0
3 Stars of Destiny,0,"
    2
","
8.8
    ",48
300 Dwarves,0,0,0,0
3089 -- Futuristic Action RPG,0,0,"
6.9
    ",11
4PM,41,"
    7
","
4.2
    ",26
4x4 Dream Race,0,0,0,0
6180 the moon,0,0,"
7.8
    ",8
7 Wonders of the Ancient World,0,0,0,0
7 Wonders: Magical Mystery Tour,0,0,0,0
"7,62 High Calibre",0,0,0,0
7th Legion,0,0,"
6.0
    ",4
8-Bit Commando,0,0,0,0
8BitBoy,64,"
    4
","
5.6
    ",12
9 Clues: The Secret of Serpent Creek,0,0,"
6.6
    ",10
99 Levels To Hell,66,"
    5
","
7.1
    ",18
A Bird Story,66,"
    18
","
7.0
    ",124
A City Sleeps,61,"
    11
","
5.8
    ",4
A Date in the Park,0,0,"
4.4
    ",5
A Golden Wake,68,"
    17
","
6.0
    ",20
A Story About My Uncle,73,"
    24
","
7.2
    ",95
A Vampyre Story,75,"
    33
",0,0
A Wizard's Lizard,0,"
    2
","
7.1
    ",12
A.I.M.2 Clan Wars,0,0,"
7.6
    ",7
A.R.E.S. Extinction Agenda EX,0,"
    2
",0,0
Abalone,0,0,0,0
"About Love, Hate and the other ones",0,"
    1
",0,0
Abyss Odyssey,69,"
    26
","
7.4
    ",79
Abyss: The Wraiths of Eden,0,"
    1
","
6.3
    ",10
Acceleration of SUGURI X-Edition HD,0,0,0,0
ACE - Arena: Cyber Evolution,0,0,8,6
Aces Wild: Manic Brawling Action!,0,0,"
7.3
    ",6
Across the Rhine,0,0,0,0
Actual Sunlight,77,"
    4
","
6.5
    ",15
Advanced Tactics Gold,0,0,0,0
Adventure Chronicles: The Search For Lost Treasure,0,0,0,0
Adventure Time: Finn and Jake's Epic Quest,0,"
    3
","
7.1
    ",13
Adventurer Manager,0,"
    1
","
8.0
    ",4
Aeon Command,0,0,"
6.8
    ",5
aerofly RC 7,0,0,0,0
Agarest: Generations of War,45,"
    5
","
6.8
    ",102
Agarest: Generations of War Zero,0,"
    1
","
6.2
    ",21
Age of Mythology: Extended Edition,66,"
    7
","
7.1
    ",127
Age of Wonders III,80,"
    35
","
8.0
    ",556
Aggression: Europe Under Fire,0,0,0,0
Airline Tycoon Deluxe,0,0,0,0
Airship Dragoon,0,"
    1
",0,0
Akane the Kunoichi,0,"
    1
","
3.8
    ",8
Akaneiro: Demon Hunters,53,"
    15
","
6.5
    ",36
Al Emmo and the Lost Dutchman's Mine,77,"
    7
","
7.5
    ",20
Alcatraz Builder,0,0,0,0
Alchemy Mysteries: Prague Legends,0,0,"
4.6
    ",8
Alea Jacta Est,0,"
    3
","
5.4
    ",10
Alien Carnage / Halloween Harry,0,0,0,0
Alien: Isolation,81,"
    41
","
8.5
    ",1758
ALLTYNEX Second,0,"
    1
",0,0
Alpha Kimori 1,0,"
    3
","
4.2
    ",5
Alpha Zylon,0,0,"
3.2
    ",6
Altitude0: Lower & Faster,0,0,0,0
Always Remember Me,0,"
    1
",0,0
Always Sometimes Monsters,73,"
    26
","
7.2
    ",81
Amazing Frog?,0,0,0,0
Amazing Princess Sarah,0,"
    1
",0,0
Ame no Marginal -Rain Marginal-,0,"
    2
",0,0
A-Men,0,"
    1
",0,0
Amerzone: The Explorer's Legacy,0,0,0,0
Among the Sleep - Enhanced Edition,66,"
    40
","
7.5
    ",203
Amphora,0,"
    2
","
6.9
    ",7
Ampu-Tea,0,0,"
2.2
    ",6
Anarchy Arcade,0,0,0,0
Ancient Space,68,"
    17
","
7.4
    ",54
Angels of Fasaria: Version 2.0,0,0,0,0
Angvik,0,0,0,0
Anmynor Puzzles,0,"
    1
",0,0
Anomaly Defenders,70,"
    14
","
6.5
    ",31
Another Perspective,0,"
    1
",0,0
Another Star,0,0,0,0
Antisquad,0,0,"
4.5
    ",4
Appointment With FEAR,0,"
    1
",0,0
Aqua Kitty - Milk Mine Defender,0,0,"
7.9
    ",7
Arcadecraft,0,"
    1
",0,0
Arcane Worlds,0,0,0,0
ArcheBlade,0,"
    1
","
7.6
    ",25
Arctic Adventure,0,0,0,0
Arctico,0,0,0,0
Aritana and the Harpy's Feather,0,2,5.5,17
AR-K,0,"
    2
","
6.2
    ",13
Ascendant,0,"
    3
","
7.5
    ",14
Ascension to the Throne,0,0,0,0
Ascension: Deckbuilding Game,0,"
    1
",0,0
Assassin's Creed Liberation HD,66,14,5.7,188
Assassin's Creed Freedom Cry,0,3,6.8,70
Assassin's Creed Unity,70,"
    10
","
3.3
    ",1613
Assetto Corsa,85,"
    17
","
8.4
    ",309
Astebreed: Definitive Edition,86,"
    14
","
7.3
    ",128
Asteria,0,0,0,0
Atajrubah,0,0,0,0
Aura Kingdom,0,0,"
6.7
    ",22
AutoTileGen,0,0,0,0
Autumn,0,0,0,0
Aveyond 3-1: Lord of Twilight,0,0,0,0
Aveyond 3-2: Gates of Night,0,0,0,0
Aviator - Bush Pilot,0,0,0,0
Avoid - Sensory Overload,0,"
    1
",0,0
B-17 Flying Fortress: The Mighty 8th,82,"
    14
","
7.5
    ",11
Back to Bed,57,"
    13
","
6.0
    ",20
Back To Life 2,0,0,0,0
Back To Life 3,0,0,0,0
Bad Mojo Redux,74,"
    12
","
7.0
    ",14
Baezult,0,0,0,0
Ballad of Solar,0,0,0,0
Banished,73,"
    32
","
8.1
    ",668
Bardbarian,0,"
    1
","
5.0
    ",20
Baron Wittard: Nemesis of Ragnarok,0,"
    2
",0,0
Baseball Mogul 2015,0,0,0,0
Basketball Pro Management 2014,0,0,0,0
Basketball Pro Management 2015,69,"
    5
",0,0
BasketBelle,0,"
    1
",0,0
Batman: Arkham Origins Blackgate - Deluxe Edition,60,"
    7
","
5.7
    ",54
Battle Academy,0,"
    1
",0,0
Battle Academy 2: Eastern Front,77,"
    6
","
6.0
    ",6
Battle Fleet 2,0,"
    1
","
7.2
    ",5
Battle Group 2,0,0,"
7.3
    ",4
Battle Islands,0,"
    1
",0,0
Battle Mages,0,0,0,0
Battle Mages: Sign of Darkness,0,0,0,0
Battle Of Europe,54,"
    11
",0,0
BattleBlock Theater,85,"
    17
","
7.9
    ",228
Battlegrounds of Eldhelm,0,0,0,0
Battlepaths,0,"
    1
","
5.3
    ",4
Battlepillars Gold Edition,0,0,"
7.3
    ",6
Battleplan: American Civil War,66,"
    4
","
6.0
    ",4
Beach Resort Simulator,0,0,0,0
BeatBlasters III,56,"
    4
","
8.0
    ",5
Bet On Soldier,56,"
    23
","
5.8
    ",32
Betrayer,62,"
    35
","
7.2
    ",129
Beware Planet Earth,68,"
    6
","
5.8
    ",6
Beyond Gravity,0,0,"
5.5
    ",4
Beyond Space Remastered Edition,0,"
    2
","
4.0
    ",5
Biglands: A Game Made By Kids,0,0,0,0
Bik - A Space Adventure,0,0,0,0
Bin Weevils Arty Arcade,0,0,0,0
Bio Menace,0,0,"
8.3
    ",6
Bionic Heart,0,0,0,0
Bionic Heart 2,0,0,0,0
Bird Assassin,0,0,0,0
bit Dungeon II,0,"
    1
","
7.6
    ",9
BIT.TRIP FLUX,0,0,0,0
Black Ice,0,0,0,0
Black Mirror I,60,"
    19
","
5.5
    ",25
Black Mirror II,71,"
    14
","
7.7
    ",53
Black Mirror III,75,"
    15
","
7.7
    ",33
Black Rainbow,0,"
    1
",0,0
Black Viper: Sophia's Fate,0,0,0,0
Blackbay Asylum,0,2,6.3,10
Blackguards,68,"
    48
","
7.2
    ",245
BlackShadows,0,0,0,0
BlackSoul: Extended Edition,22,"
    5
","
4.5
    ",28
Blackwell Epiphany,83,14,7.7,69
Blade Kitten,52,"
    10
","
7.5
    ",41
Blade Symphony,72,"
    5
","
6.6
    ",34
Blast Em!,0,0,"
3.4
    ",7
BlazBlue: Calamity Trigger,0,1,8.4,34
BlazBlue: Continuum Shift Extend,0,0,"
7.1
    ",7
BlazeRush,66,"
    8
","
8.2
    ",23
Blinding Dark,0,0,0,0
Bliss,0,"
    1
",0,0
Blitzkrieg 2 Anthology,0,0,0,0
Blitzkrieg Anthology,0,0,"
7.8
    ",6
Blob From Space,0,0,0,0
BLOCKADE 3D,0,0,0,0
Blockscape,0,0,0,0
Bloo Kid 2,0,0,0,0
Blood II: The Chosen + Expansion,72,"
    14
","
7.1
    ",50
Blood: One Unit Whole Blood,82,"
    7
","
8.8
    ",108
Bloodbath,0,"
    2
",0,0
BloodNet,0,0,0,0
BloodRayne Betrayal,0,"
    1
","
6.9
    ",16
Bloons TD 5,0,0,"
8.3
    ",6
Bombing Bastards,0,0,0,0
Boo Bunny Plague,0,"
    3
",0,0
Boot Hill Heroes,0,0,0,0
Borderlands: The Pre-Sequel,75,"
    55
","
6.3
    ",762
BorderZone,0,0,0,0
Borealis,0,0,0,0
Bosch's Damnation,0,0,0,0
Boson X,0,0,"
6.8
    ",13
Bot Colony,0,0,0,0
Bound By Flame,56,"
    42
","
6.8
    ",417
Bounders and Cads,0,0,0,0
Bravada,70,"
    6
","
7.6
    ",10
Braveland,0,"
    1
","
6.4
    ",17
Braveland Wizard,0,0,"
6.3
    ",4
Breach & Clear,0,0,"
7.0
    ",25
Brick-Force,0,"
    3
","
2.6
    ",5
Bridge Constructor Medieval,0,"
    1
",0,0
Bridge Constructor Playground,0,0,0,0
Brigade E5: New Jagged Union,41,"
    9
","
6.8
    ",37
Brink of Consciousness: The Lonely Hearts Murders,0,0,0,0
Broken Age,76,"
    19
","
7.0
    ",100
Broken Sword 4 - the Angel of Death,0,0,0,0
Burning Cars,0,"
    1
",0,0
Bus Driver,61,"
    10
","
7.1
    ",30
Buzz Aldrin's Space Program Manager,62,"
    8
","
6.6
    ",13
Cakewalk Loop Manager,0,0,0,0
Calibre 10 Racing,0,0,0,0
Call of Cthulhu: The Wasted Land,0,"
    1
","
7.4
    ",8
Call of Duty: Advanced Warfare - Gold Edition,78,"
    18
","
4.6
    ",1192
Call of Duty: Ghosts,68,"
    14
","
2.1
    ",3421
Cannon Brawl,72,"
    6
",0,0
Cannons Lasers Rockets,0,0,0,0
Canyon Capers,0,1,5.6,23
CAPSULE,0,0,0,0
Captain Morgane and the Golden Turtle,54,"
    6
","
6.2
    ",12
Car Mechanic Simulator 2014,61,"
    6
","
7.1
    ",55
Card City Nights,0,0,"
6.6
    ",15
Cargo 3,0,"
    1
","
3.0
    ",5
Carmageddon 2: Carpocalypse Now,0,0,"
8.3
    ",46
Carmageddon TDR 2000,48,"
    9
","
7.2
    ",67
Castle: Never Judge a Book by its Cover,0,0,0,0
CastleMiner Z,0,"
    1
","
2.8
    ",29
Castlevania: Lords of Shadow Mirror of Fate HD,0,"
    2
","
7.0
    ",49
Castlevania: Lords of Shadow 2,58,"
    16
","
7.7
    ",532
Catmouth Island,0,"
    1
",0,0
Catzilla 4K - Advanced,0,0,0,0
Cavern Kings,0,0,0,0
Celestial Command,0,0,0,0
Chaos Domain,0,"
    2
","
1.7
    ",9
Character Creator - Graphics Pack,0,0,0,0
Chariot,76,"
    4
","
8.2
    ",11
Cheesecake Cool Conrad,0,0,0,0
Chernobyl Commando,0,"
    1
","
1.3
    ",13
Cherry Tree High I! My! Girls!,0,0,0,0
Chess 2: The Sequel,62,"
    4
","
7.5
    ",4
Chicken Invaders 4,0,0,"
9.0
    ",4
Child of Light,77,"
    16
","
8.1
    ",514
Children of Liberty,0,0,0,0
Chip,0,0,0,0
Cho Dengeki Stryker All Ages Version,0,0,0,0
Choice of Robots,0,"
    1
","
8.6
    ",14
Choice of the Deathless,0,0,0,0
Chompy Chomp Chomp,0,"
    1
","
3.8
    ",6
Chronicles of a Dark Lord: Episode 1 Tides of Fate Complete,0,"
    1
","
6.1
    ",21
Chronology,64,"
    10
","
6.8
    ",14
Chuck's Challenge 3D,61,"
    5
","
8.2
    ",11
Cinders,0,"
    2
","
7.7
    ",9
Cinemaware Anthology: 1986-1991,0,0,0,0
Circuits,0,"
    3
","
8.3
    ",4
Civil War II,0,0,0,0
Claire,0,"
    2
","
7.6
    ",34
Clans,0,0,0,0
Clash of Puppets,0,0,0,0
Claustrophobia: The Downward Struggle,0,0,0,0
Clockwork Tales: Of Glass and Ink,0,0,6,5
Cloney,0,0,0,0
Close Combat - Gateway to Caen,0,"
    2
","
7.6
    ",9
Cloudbuilt,72,"
    17
","
7.7
    ",36
Club Manager 2015,0,"
    3
",0,0
Cobi Treasure Deluxe,0,0,"
5.8
    ",4
CoH 2 - The Western Front Armies: Oberkommando West,0,0,0,0
COH 2 - The Western Front Armies: US Forces,0,0,0,0
Coin Crypt,0,0,"
8.0
    ",4
Cold War,64,"
    21
","
6.0
    ",23
Coldfire Keep,0,0,0,0
Colin McRae Rally,0,0,"
6.4
    ",18
Collapse,0,0,"
6.5
    ",6
Colonies Online,0,0,0,0
Color Symphony,0,0,"
5.5
    ",4
Colossal Kaiju Combat: Kaijuland Battles,0,"
    1
","
4.1
    ",54
Coma: Mortuary,0,0,4.2,19
Comicado,0,0,0,0
Command HQ,0,0,0,0
Command: Modern Air / Naval Operations WOTY,0,1,4.1,54
Commander: The Great War,0,0,0,0
Commando Jack,0,"
    2
","
6.8
    ",5
Company of Heroes 2 - Ardennes Assault,80,"
    29
","
6.9
    ",117
Company of Heroes 2 - The Western Front Armies,81,"
    38
","
6.2
    ",74
Concursion,66,"
    7
","
7.5
    ",13
CONSORTIUM,66,"
    14
","
7.6
    ",55
Constant C,60,"
    6
","
7.5
    ",15
Construction Machines 2014,0,0,"
6.3
    ",4
Construction Simulator 2015,63,"
    5
","
5.1
    ",14
Continue?9876543210,62,"
    15
","
6.3
    ",27
Contraption Maker,0,0,"
8.2
    ",17
Corporate Lifestyle Simulator,0,"
    1
","
6.6
    ",9
Corto Maltese - Secrets of Venice,0,"
    1
",0,0
Cosmic DJ,0,0,"
7.3
    ",7
Cosmo's Cosmic Adventure,0,0,0,0
Costume Quest 2,68,"
    27
","
7.5
    ",33
Counter-Strike Nexon: Zombies,0,"
    2
","
4.9
    ",35
Crab Cakes Rescue,0,0,0,0
Craft The World,0,"
    2
","
8.1
    ",43
Crash And Burn Racing,0,0,0,0
Crazy Machines: Golden Gears,0,0,0,0
Crazy Plant Shop,0,0,"
8.3
    ",4
Creeper World 3: Arc Eternal,0,"
    1
","
8.5
    ",53
Cricket Captain 2014,0,0,0,0
Crimsonland,68,"
    8
","
7.4
    ",34
Crimzon Clover WORLD IGNITION,0,0,0,0
Croixleur Sigma,56,"
    6
","
6.6
    ",12
Crouching Pony Hidden Dragon,0,"
    1
",0,0
Crow,0,0,0,0
Crowntakers,70,"
    6
","
7.4
    ",14
C-RUSH,0,0,0,0
CRYENGINE - Sample Assets,0,0,0,0
CRYENGINE - Wwise Project DLC,0,0,0,0
Crystal Caves,0,0,0,0
Crystal Chip Collector,0,0,0,0
Crystals of Time,0,0,0,0
CT Special Forces: Fire for Effect,0,"
    1
",0,0
Cube & Star: An Arbitrary Love,0,"
    1
",0,0
CubeGun,0,0,0,0
Cubesis,0,0,0,0
CubeZ,0,0,0,0
Cubic Castles,0,0,"
5.6
    ",5
Cult of the Wind,0,"
    2
",0,0
Curse: The Eye of Isis,63,"
    17
","
6.6
    ",7
Cypress Inheritance: The Beginning,0,"
    1
","
1.4
    ",17
Cyto,0,"
    1
",0,0
D.W.A.R.F.S.,0,0,0,0
Daedalus - No Escape,0,"
    1
",0,0
Damned,0,0,"
8.5
    ",11
Dandelion - Wishes brought to you -,0,0,6.8,4
Dangerous,0,0,0,0
Danmaku Unlimited 2,0,"
    1
",0,0
Dark Ages,0,0,0,0
Dark Arcana: The Carnival,0,0,"
6.7
    ",6
Dark Horizons: Mechanized Corps,0,0,0,0
Dark Lore Mysteries: The Hunt For Truth,0,0,0,0
Dark Raid,0,"
    1
","
1.8
    ",30
Dark Scavenger,0,"
    3
",0,0
Dark Shadows - Army of Evil,0,"
    1
","
1.6
    ",5
DARK SOULS II,91,"
    36
","
7.2
    ",2452
DarkEnd,0,"
    1
",0,0
Darklands,0,0,0,0
Darkness Within 1: In Pursuit of Loath Nolder,52,"
    15
","
7.2
    ",19
Darkness Within 2: The Dark Lineage,0,0,"
6.1
    ",11
Darkstone,0,0,"
8.4
    ",15
Darkwind: War on Wheels,0,0,0,0
Data Hacker: Corruption,0,0,0,0
Data Hacker: Initiation,0,0,0,0
Date Warp,0,0,0,0
Daylight,51,"
    59
","
4.3
    ",198
Dead Bits,0,0,"
4.3
    ",24
Dead Effect,59,"
    8
","
6.3
    ",37
Dead Man's Draw,0,0,0,0
Dead Rising 3 Apocalypse Edition,70,"
    44
","
5.5
    ",343
Dead State: Reanimated,70,"
    16
","
6.5
    ",88
DeadCore,78,"
    11
","
6.8
    ",39
Deadlings: Rotten Edition,0,"
    1
",0,0
Deadlock II: Shrine Wars,0,0,0,0
Deadlock: Planetary Conquest,0,0,0,0
Deadly 30,0,"
    3
","
7.4
    ",25
Deadly Sin 2,0,0,0,0
Deadnaut,0,"
    3
",0,0
Deadstone,0,"
    2
",0,0
Death Rally (Classic),0,0,0,0
Death Skid Marks,0,"
    3
","
6.6
    ",8
Deep Dungeons of Doom,0,"
    1
","
8.6
    ",5
Deep Eclipse: New Space Odyssey,0,0,0,0
Deep Under the Sky,0,0,0,0
Defenders of Time,55,"
    6
",0,0
Defense Zone,0,0,0,0
Defense Zone 2,0,0,0,0
Defiance,64,"
    40
","
6.6
    ",658
Demolition Master 3D,0,0,0,0
Demon Hunter: Chronicles from Beyond,0,0,0,0
Demonlisher,0,0,0,0
Deponia: The Complete Journey,0,"
    1
","
7.2
    ",26
Depression Quest,0,"
    1
","
1.6
    ",286
Depth,65,"
    7
","
7.7
    ",116
Depth Hunter 2: Deep Dive,0,0,"
8.0
    ",5
Depths of Fear :: Knossos,48,"
    5
","
5.1
    ",12
Derrick the Deathfin,0,"
    3
",0,0
Descent,0,0,"
8.4
    ",13
Descent 2,89,6,8.7,46
Descent 3,89,"
    14
","
7.8
    ",42
Descent: FreeSpace The Great War,0,0,"
7.9
    ",17
Desert Ashes,0,0,0,0
Desert Gunner,0,0,0,0
Desert Thunder,0,"
    1
","
5.4
    ",7
Detective Case and Clown Bot in: Murder in the Hotel Lisbon,0,0,0,0
Detective Grimoire,0,"
    2
","
7.2
    ",9
Deus Ex: The Fall,45,"
    14
","
2.9
    ",167
Devil's Dare,0,"
    2
",0,0
DG2: Defense Grid 2,81,"
    21
","
6.8
    ",90
Diehard Dungeon,0,"
    1
","
5.9
    ",13
DIG IT! - A Digger Simulator,0,0,0,0
Direct Hit: Missile War,0,0,0,0
Disciples III: Reincarnation,0,"
    1
","
8.1
    ",38
Disciples Sacred Lands Gold,0,0,"
9.0
    ",4
Disney Alice in Wonderland,63,"
    4
","
5.9
    ",15
Disney Epic Mickey 2: The Power of Two,0,0,"
1.4
    ",8
Disney Fairies: Tinker Bell's Adventure,0,0,0,0
Disney G-Force,61,4,8.8,14
Disney Pirates of the Caribbean: At Worlds End,57,"
    7
","
6.6
    ",29
Disney Planes,0,0,0,0
Disney Princess: Enchanted Journey,0,0,0,0
Disney Princess: My Fairytale Adventure,0,0,0,0
Disney Tangled,0,0,0,0
Disney The Princess and the Frog,0,2,0,0
Disney TRON: Evolution,57,11,6,25
Disney Universe,0,2,0,0
Disney Winnie the Pooh,0,0,0,0
Disney.pixar Brave: The Video Game,0,0,0,0
Disney.pixar Cars 2: The Video Game,65,"
    4
","
5.0
    ",12
Disney.pixar Cars Toon: Mater's Tall Tales,0,0,0,0
Disney.pixar Toy Story 3: The Video Game,73,"
    7
","
6.6
    ",13
Disney.pixar Toy Story Mania!,0,0,0,0
Distant Worlds: Universe,81,"
    6
","
7.9
    ",97
Divine Souls F2P MMO,0,0,0,0
Divinity: Original Sin (Classic),87,"
    59
","
8.7
    ",2146
Do Not Fall,0,0,0,0
