X.,Game,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.,,
164,The-Cave,23-Jan-13,$14.99,66% (86%,68%),"200,000?..?500,000",00:03 (00:01),Double Fine Productions,Double Fine Productions,
165,Scribblenauts-Unmasked-A-DC-Comics-Adventure,24-Sep-13,$19.99,51% (80%,68%),"200,000?..?500,000",02:58 (02:49),5th Cell Media,Warner Bros. Interactive Entertainment,
163,A-Valley-Without-Wind-2,18-Feb-13,$14.99,10% (48%,68%),"100,000?..?200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC",
167,Cubemen-2,8-Apr-13,$7.99,34% (71%,68%),"100,000?..?200,000",00:00 (00:00),3 Sprockets,3 Sprockets,
168,Space-Rangers-HD-A-War-Apart,17-Oct-13,$14.99,90% (94%,68%),"100,000?..?200,000",02:53 (02:01),"SNK Games, Elemental Games, Katauri Interactive",1C Entertainment,
162,Dark-Fall-The-Journal,3-Dec-13,$4.99,39% (74%,68%),"50,000?..?100,000",00:00 (00:00),Darkling Room,THQ Nordic,
160,Rain-Blood-Chronicles-Mirage,11-Nov-13,$4.99,38% (73%,68%),"0?..?20,000",00:00 (00:00),,Origo Games,
172,Rise-of-the-Triad,31-Jul-13,$14.99,31% (69%,67%),"200,000?..?500,000",00:00 (00:00),"Slipgate Studios??,Apogee Software""",,
173,Long-Live-The-Queen,8-Nov-13,$9.99,93% (95%,67%),"200,000?..?500,000",01:23 (01:22),Hanako Games,Hanako Games,
175,The-Banner-Saga-Factions,25-Feb-13,Free,38% (73%,67%),"200,000?..?500,000",02:12 (01:42),Stoic,Versus Evil,
169,Ittle-Dew,23-Jul-13,$9.99,84% (92%,67%),"100,000?..?200,000",00:00 (00:00),Ludosity,Ludosity,
171,"10,000,000",15-Jan-13,$4.99,77% (90%,67%),"100,000?..?200,000",01:15 (01:12),EightyEightGames,EightyEightGames,
170,Cloudberry-Kingdom,2-Aug-13,$9.99,77% (90%,67%),"20,000?..?50,000",00:00 (00:00),Pwnee Studios,Ubisoft,
174,A-Walk-in-the-Dark,7-Nov-13,$6.99,53% (81%,67%),"20,000?..?50,000",00:00 (00:00),,,
177,The-Bureau-XCOM-Declassified,19-Aug-13,$19.99,27% (66%,66%),"2,000,000?..?5,000,000",01:19 (01:23),2K Marin,2K,
180,DuckTales-Remastered,13-Aug-13,$14.99,66% (86%,66%),"200,000?..?500,000",00:18 (00:06),WayForward,Capcom,
183,Strike-Suit-Zero,23-Jan-13,$19.99,51% (80%,66%),"200,000?..?500,000",00:00 (00:00),Born Ready Games Ltd.,Born Ready Games,
176,Strike-Suit-Infinity,30-Apr-13,$6.99,63% (85%,66%),"100,000?..?200,000",01:22 (00:27),Born Ready Games Ltd.,Born Ready Games,
178,Final-Exam,5-Nov-13,$9.99,66% (86%,66%),"100,000?..?200,000",01:38 (00:32),Mighty Rocket Studio,Focus Home Interactive,
184,The-Novelist,10-Dec-13,$9.99,53% (81%,66%),"100,000?..?200,000",00:00 (00:00),Orthogonal Games,,
182,Oozi-Earth-Adventure,5-Dec-13,$4.99,68% (87%,66%),"50,000?..?100,000",00:00 (00:00),Awesome Games Studio,Awesome Games Studio,
186,Rise-of-Venice,27-Sep-13,$19.99,16% (57%,66%),"50,000?..?100,000",19:05 (06:21),,Kalypso Media Digital,
179,Armada-2526-Gold-Edition,28-Feb-13,$19.99,18% (59%,66%),"20,000?..?50,000",00:00 (00:00),Ntronium Games,Iceberg Interactive,
185,Alone-in-the-Dark-The-New-Nightmare,29-Oct-13,$6.99,19% (60%,66%),"20,000?..?50,000",00:08 (00:02),"Darkworks, Spiral House",THQ Nordic,
188,Remember-Me,3-Jun-13,$29.99,58% (83%,65%),"500,000?..?1,000,000",04:30 (05:31),DONTNOD Entertainment,Capcom,
190,Slender-The-Arrival,28-Oct-13,$9.99,71% (88%,65%),"200,000?..?500,000",00:37 (00:54),Blue Isle Studios,Blue Isle Studios,
189,Journey-of-a-Roach,4-Nov-13,$6.99,71% (88%,65%),"100,000?..?200,000",00:30 (00:10),"Koboldgames, Daedalic Entertainment",Daedalic Entertainment,
187,Blood-of-the-Werewolf,28-Oct-13,$1.99,21% (61%,65%),"50,000?..?100,000",00:00 (00:00),Scientifically Proven,Scientifically Proven,
191,Skyward-Collapse,23-May-13,$4.99,9% (45%,64%),"100,000?..?200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC",
192,Inquisitor,Aug-13,$9.99,30% (68%,64%),"100,000?..?200,000",01:37 (00:44),"CINEMAX, s.r.o.","CINEMAX, s.r.o.",
193,Dragons-Prophet,18-Sep-13,Free,31% (69%,63%),"200,000?..?500,000",00:00 (00:00),Runewaker,Infernum Productions AG,
194,Defense-Technica,24-Oct-13,$14.99,6% (38%,63%),"20,000?..?50,000",00:00 (00:00),Kuno Interactive,Kuno Interactive,
195,Storm,27-Jun-13,$9.99,30% (68%,63%),"20,000?..?50,000",00:00 (00:00),Eko Software,Eko Software,
198,Contagion,25-Oct-13,$9.99,39% (74%,62%),"1,000,000?..?2,000,000",02:00 (01:26),"Monochrome, Inc","Monochrome, Inc",
196,Sniper-Elite-Nazi-Zombie-Army,28-Feb-13,$14.99,71% (88%,62%),"200,000?..?500,000",00:00 (00:00),Rebellion,Rebellion,
200,Legend-of-Dungeon,13-Sep-13,$9.99,38% (73%,62%),"200,000?..?500,000",02:59 (02:16),Robot Loves Kitty,,
201,Contrast,15-Nov-13,$9.99,77% (90%,62%),"200,000?..?500,000",00:55 (00:18),Compulsion Games,Focus Home Interactive,
197,Redshirt,13-Nov-13,$9.99,7% (40%,62%),"20,000?..?50,000",00:00 (00:00),The Tiniest Shark,Positech,
199,Bient√¥t-l√©t√©,6-Feb-13,$9.99,13% (52%,62%),"20,000?..?50,000",00:00 (00:00),Tale of Tales,Tale of Tales,
202,Sacred-Citadel,16-Apr-13,$9.99,38% (73%,61%),"500,000?..?1,000,000",01:12 (00:24),Southend,Deep Silver,
205,World-War-II-Panzer-Claws,27-Sep-13,$4.99,25% (65%,61%),"500,000?..?1,000,000",03:18 (04:16),,Topware Interactive,
206,Evoland,4-Apr-13,$9.99,58% (83%,61%),"200,000?..?500,000",00:51 (00:29),Shiro Games,Shiro Games,
204,StarDrive,26-Apr-13,$29.99,7% (41%,61%),"100,000?..?200,000",00:00 (00:00),Zero Sum Games,Iceberg Interactive,
207,Violett-Remastered,13-Dec-13,$9.99,18% (59%,61%),"100,000?..?200,000",01:46 (00:35),Forever Entertainment S. A.,Forever Entertainment S. A.,
203,Signal-Ops,18-Nov-13,$9.99,24% (64%,61%),"0?..?20,000",00:00 (00:00),Space Bullet Dynamics Corporation,Space Bullet Dynamics Corporation,
208,Mars-War-Logs,26-Apr-13,$14.99,36% (72%,59%),"200,000?..?500,000",00:00 (00:00),Spiders,Focus Home Interactive,
211,Deadly-Premonition-The-Directors-Cut,29-Oct-13,$24.99,31% (69%,59%),"200,000?..?500,000",07:49 (02:36),Rising Star Games,Rising Star Games,
209,Face-Noir,17-Oct-13,$9.99,22% (62%,59%),"50,000?..?100,000",03:31 (01:10),Mad Orange,Phoenix Online Publishing,
210,Shattered-Haven,18-Mar-13,$9.99,9% (45%,59%),"50,000?..?100,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC",
212,Master-Reboot,29-Oct-13,$14.99,39% (74%,59%),"50,000?..?100,000",00:00 (00:00),Wales Interactive,Wales Interactive,
213,Space-Hulk,15-Aug-13,$24.99,31% (69%,58%),"200,000?..?500,000",00:00 (00:00),Full Control Studios,Full Control,
216,God-Mode,19-Apr-13,$9.99,31% (69%,58%),"200,000?..?500,000",00:00 (00:00),Old School Games,ATLUS USA,
214,Prime-World-Defenders,5-Jun-13,$9.99,49% (79%,58%),"100,000?..?200,000",00:00 (00:00),Nival,Nival,
215,Urban-Trial-Freestyle,18-Sep-13,$6.99,56% (82%,58%),"100,000?..?200,000",03:32 (01:10),Tate Multimedia,Tate Multimedia,
218,Two-Brothers,3-Dec-13,N/A,3% (30%,57%),"100,000?..?200,000",00:00 (00:00),Ackk Studios,Ackk Studios,
217,Knock-knock,4-Oct-13,$9.99,74% (89%,57%),"50,000?..?100,000",00:00 (00:00),Ice-Pick Lodge,Ice-Pick Lodge,
219,Guardians-of-Middle-earth,29-Aug-13,$19.99,3% (27%,56%),"500,000?..?1,000,000",00:00 (00:00),Zombie Studios,Warner Bros. Interactive Entertainment,
220,POSTAL,21-Mar-13,$1.99,60% (84%,56%),"200,000?..?500,000",00:01 (00:00),Running With Scissors,Running With Scissors,
222,Darkout,4-Dec-13,$14.99,14% (54%,55%),"100,000?..?200,000",00:00 (00:00),Allgraf,KISS ltd,
221,Alone-in-the-Dark,29-Oct-13,$9.99,9% (46%,55%),"20,000?..?50,000",00:00 (00:00),"Eden Games, Hydravision Entertainment",THQ Nordic,
225,Sniper-Elite-Nazi-Zombie-Army-2,31-Oct-13,$14.99,60% (84%,53%),"200,000?..?500,000",01:22 (00:54),,Rebellion,
223,Deadfall-Adventures,15-Nov-13,$19.99,36% (72%,53%),"100,000?..?200,000",00:00 (00:00),The Farm 51,THQ Nordic,
224,Speedball-2-HD,5-Dec-13,$9.99,31% (69%,53%),"100,000?..?200,000",00:00 (00:00),Vivid Games,Mastertronic,
226,Sniper-Ghost-Warrior-2,11-Mar-13,$9.99,33% (70%,52%),"1,000,000?..?2,000,000",01:10 (00:17),City Interactive,CI Games,
227,Alien-Rage---Unlimited,24-Sep-13,$19.99,34% (71%,52%),"200,000?..?500,000",00:08 (00:02),CI Games,CI Games,
228,Lords-of-Football,5-Apr-13,$14.99,9% (46%,52%),"20,000?..?50,000",00:00 (00:00),Geniaware Srl,Fish Eagle,
229,Gomo,6-Dec-13,$4.99,41% (75%,50%),"100,000?..?200,000",01:18 (00:51),Fishcow Studio,Daedalic Entertainment,
230,Bad-Bots,17-May-13,$4.99,31% (69%,49%),"20,000?..?50,000",00:00 (00:00),Point Five Projects,Digital Tribe,
231,Hexodius,21-Jun-13,$9.99,N/A (N/A,47%),"0?..?20,000",00:00 (00:00),Brain Slap Studio,BANDAI NAMCO Entertainment,
232,Arma-Tactics,1-Oct-13,$8.99,4% (34%,47%),"200,000?..?500,000",02:23 (01:35),Bohemia Interactive,Bohemia Interactive,
233,Impire,14-Feb-13,$19.99,9% (45%,45%),"100,000?..?200,000",00:00 (00:00),Cyanide Montreal,Paradox Interactive,
234,Air-Conflicts-Vietnam,2-Oct-13,$14.99,3% (27%,43%),"20,000?..?50,000",00:00 (00:00),Games Farm,Games Farm,
235,DARK,3-Jul-13,$9.99,10% (47%,41%),"50,000?..?100,000",00:00 (00:00),Realmforge Studios,Kalypso Media Digital,
236,The-Chaos-Engine,29-Aug-13,$9.99,33% (70%,40%),"50,000?..?100,000",00:00 (00:00),"Abstraction Games, The Bitmap Brothers",The Bitmap Brothers,
237,Montagues-Mount,19-Nov-13,$4.99,23% (63%,39%),"50,000?..?100,000",00:00 (00:00),PolyPusher Studios,PolyPusher Studios,
238,Dementium-II-HD,17-Dec-13,N/A,9% (46%,37%),"50,000?..?100,000",00:00 (00:00),Memetic Games,Missing Link Games,
239,X-Rebirth,15-Nov-13,$29.99,6% (39%,33%),"200,000?..?500,000",00:12 (00:07),Egosoft,Egosoft,
181,Dark-Fall-2-Lights-Out,3-Dec-13,$4.99,N/A (N/A/66%),/66%),"20,000?..?50,000",00:00 (00:00),Darkling Room,THQ Nordic,
241,Spaceforce-Constellations,12-Dec-13,$9.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Dreamatrix,Dreamatrix,
250,Dragons-Lair-2-Time-Warp,24-Oct-13,$9.99,56% (82%),,"0?..?20,000",00:00 (00:00),Digital Leisure Inc.,Digital Leisure Inc.,
260,Highborn,19-Feb-13,$1.99,24% (64%),,"0?..?20,000",00:00 (00:00),Jet Set Games,Jet Set Games,
264,Cranky-Cat,5-Jun-13,$2.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),March Entertainment,March Entertainment,
268,Nancy-Drew-The-Silent-Spy,22-Oct-13,$19.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),HeR Interactive,HeR Interactive,
281,PAC-MAN-and-the-Ghostly-Adventures,29-Oct-13,$19.99,49% (79%),,"0?..?20,000",00:00 (00:00),NAMCO BANDAI Games,BANDAI NAMCO Entertainment,
302,Sacra-Terra-Kiss-of-Death-Collector?ôs-Edition,22-Mar-13,$9.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Alawar Five-BN,Alawar Entertainment,
309,Virtual-Race-Car-Engineer-2017,1-Aug-13,$9.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Tim McArthur,Monkey Face Software LLC,
318,Mosaico,26-Nov-13,$19.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Soulid Studio,Soulid Studio,
337,Secret-Files-Sam-Peters,18-Oct-13,$9.99,23% (63%),,"0?..?20,000",00:00 (00:00),Animation Arts,Deep Silver,
342,Life-of-a-Wizard,27-Feb-13,$3.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Hosted Games,Hosted Games,
353,MUD-Motocross-World-Championship,26-Feb-13,$9.99,11% (49%),,"0?..?20,000",00:00 (00:00),Milestone S.r.l.,BANDAI NAMCO Entertainment,
355,The-Saint-Abyss-of-Despair,5-Apr-13,$3.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Happy Artist,Alawar Entertainment,
358,Battleship,10-Jun-13,$9.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),"Sperasoft, Inc.",PopCap,
359,Call-of-Duty-Ghosts---Digital-Hardened-Edition,4-Nov-13,$99.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Infinity Ward,Activision,
365,Z3TA+-2,9-Sep-13,N/A,N/A (N/A),,"0?..?20,000",00:00 (00:00),Cakewalk,Cakewalk,
368,A-Train-8,18-Sep-13,$19.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),ARTDINK,Degica,
371,Happy-Pong,16-Mar-13,$2.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Poppgames,Poppgames,
376,Dark-Angels-Masquerade-of-Shadows,26-Nov-13,$3.99,97% (97%),,"0?..?20,000",00:00 (00:00),Skywind Games,Alawar Entertainment,
382,Cut-the-Rope,22-Mar-13,$4.99,74% (89%),,"0?..?20,000",00:00 (00:00),Zeptolab UK Limited,Zeptolab UK Limited,
391,Nancy-Drew-Ghost-of-Thornton-Hall,14-May-13,$19.99,84% (92%),,"0?..?20,000",00:00 (00:00),"HeR Interactive, Inc.",HeR Interactive,
395,Zombie-Apocalypse-Escape-The-Undead-City,25-Nov-13,$0.99,6% (38%),,"0?..?20,000",00:00 (00:00),Anarchy Enterprises,Anarchy Enterprises,
408,Train-Simulator-West-Somerset-Railway-Route-Add-On,14-Nov-13,$19.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Dovetail Games,Dovetail Games - Trains,
414,Scrabble,10-Jun-13,$9.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),"Sperasoft, Inc.",PopCap,
417,Might-Magic-Heroes-VI---Shades-of-Darkness,2-May-13,$14.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Virtuos,Ubisoft,
418,Flashpoint-Campaigns-Red-Storm-Players-Edition,9-Oct-13,$49.99,80% (91%),,"0?..?20,000",00:00 (00:00),On Target Simulations,Slitherine Ltd.,
436,Gravi,8-Oct-13,$4.99,13% (53%),,"0?..?20,000",00:00 (00:00),Hashbang Games,,
439,The-Game-of-Life,10-Jun-13,$9.99,4% (33%),,"0?..?20,000",00:00 (00:00),Virtuos,PopCap,
442,DIVO,1-Feb-13,$4.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Internal Games,Internal Games,
455,World-Basketball-Tycoon,18-Nov-13,$2.99,1% (11%),,"0?..?20,000",00:00 (00:00),,Strategy First,
458,Train-Simulator-Pacific-Surfliner-LA---San-Diego-Route,17-Oct-13,$19.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Dovetail Games,Dovetail Games - Trains,
464,Dark-Matter,17-Oct-13,$9.99,7% (40%),,"0?..?20,000",00:00 (00:00),InterWave Studios,Iceberg Interactive,
470,Train-Simulator-East-Coast-Main-Line-London-Peterborough-Route-Add-On,5-Dec-13,$19.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Dovetail Games,Dovetail Games - Trains,
481,Deathtrap-Dungeon,3-Oct-13,$6.99,28% (67%),,"0?..?20,000",00:00 (00:00),,Square Enix,
493,Perfection,28-Aug-13,$2.99,15% (55%),,"0?..?20,000",00:00 (00:00),Greg Lobanov,,
497,Pulse-Shift,23-Jan-13,$8.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),3 Core Studio,3 Core Studio,
501,Affairs-of-the-Court-Choice-of-Romance,16-Aug-13,$5.99,43% (76%),,"0?..?20,000",00:00 (00:00),Choice of Games,Choice of Games,
505,Slam-Bolt-Scrappers,14-Mar-13,$9.99,N/A (N/A),,"0?..?20,000",00:00 (00:00),Fire Hose Games,Fire Hose Games,
506,Driver-Fusion---The-Best-Driver-Device-Solution,6-May-13,Free,28% (67%),,"0?..?20,000",00:10 (00:06),Treexy,Treexy,
512,Darkfall-Unholy-Wars,25-Apr-13,N/A,25% (65%),,"0?..?20,000",00:00 (00:00),Aventurine SA,Aventurine,
514,Space-Ace,27-Aug-13,$9.99,80% (91%),,"0?..?20,000",00:00 (00:00),Digital Leisure Inc.,Digital Leisure Inc.,
249,Panzar,25-Nov-13,Free,25% (65%),,"1,000,000?..?2,000,000",06:13 (04:39),Panzar Studio,OVALIS INVESTMENTS LIMITED,
265,The-Walking-Dead-Season-2,17-Dec-13,N/A,93% (95%),,"1,000,000?..?2,000,000",02:23 (01:34),Telltale Games,Telltale Games,
269,Just-Cause-2-Multiplayer-Mod,16-Dec-13,Free,80% (91%),,"1,000,000?..?2,000,000",01:39 (00:32),Avalanche Studios,Square Enix,
277,Knights-and-Merchants,14-Oct-13,$6.99,60% (84%),,"1,000,000?..?2,000,000",02:59 (03:56),Topware Interactive,Topware Interactive,
396,Assassin?ôs-Creed-IV-Black-Flag,19-Nov-13,$19.99,68% (87%),,"1,000,000?..?2,000,000",03:33 (01:57),Ubisoft Montreal,Ubisoft,
415,KnightShift,27-Sep-13,$6.99,23% (63%),,"1,000,000?..?2,000,000",03:21 (04:13),Reality Pump,Topware Interactive,
416,Ragnarok-Online-2,1-May-13,Free,18% (59%),,"1,000,000?..?2,000,000",00:03 (00:02),"Gravity, Inc.",Gravity Interactive,
426,Injustice-Gods-Among-Us-Ultimate-Edition,12-Nov-13,$19.99,63% (85%),,"1,000,000?..?2,000,000",01:31 (01:48),"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment,
445,Euro-Truck-Simulator,8-Mar-13,$4.99,49% (79%),,"1,000,000?..?2,000,000",00:46 (01:01),SCS Software,SCS Software,
456,Dust-An-Elysian-Tail,24-May-13,$14.99,95% (96%),,"1,000,000?..?2,000,000",01:25 (00:47),Humble Hearts LLC,Microsoft Studios,
471,FINAL-FANTASY-VII,4-Jul-13,$11.99,84% (92%),,"1,000,000?..?2,000,000",01:47 (01:11),Square Enix,Square Enix,
473,SNOW,10-Oct-13,Free,27% (66%),,"1,000,000?..?2,000,000",09:24 (02:22),Poppermost Productions,Poppermost Productions,
243,Unholy-Heights,4-Oct-13,$3.99,77% (90%),,"100,000?..?200,000",00:00 (00:00),Petit Depotto,AGM PLAYISM,
245,1953---KGB-Unleashed,20-Sep-13,$5.99,23% (63%),,"100,000?..?200,000",00:00 (00:00),,United Independent Entertainment GmbH,
257,Huntsman-The-Orphanage-(Halloween-Edition),13-Sep-13,$9.99,5% (37%),,"100,000?..?200,000",00:00 (00:00),ShadowShifters,ShadowShifters,
266,Demonicon,24-Oct-13,$9.99,27% (66%),,"100,000?..?200,000",04:19 (01:26),Noumena Studios,Kalypso Media Digital,
267,Bleed,3-Jul-13,$4.99,84% (92%),,"100,000?..?200,000",00:00 (00:00),Ian Campbell,Ian Campbell,
273,Another-World-??20th-Anniversary-Edition,4-Apr-13,$9.99,63% (85%),,"100,000?..?200,000",00:00 (00:00),"Eric Chahi, DotEmu",The Digital Lounge,
280,Anomaly-Korea,6-Nov-13,$4.99,30% (68%),,"100,000?..?200,000",01:59 (01:02),11 bit studios,11 bit studios,
292,Bridge-Project,28-Mar-13,$19.99,10% (48%),,"100,000?..?200,000",00:00 (00:00),Halycon Media GmbH & Co. KG,THQ Nordic,
300,Jack-Lumber,30-Apr-13,$4.99,66% (86%),,"100,000?..?200,000",00:00 (00:00),Owlchemy Labs,Owlchemy Labs,
303,Small-World-2,11-Dec-13,$9.99,39% (74%),,"100,000?..?200,000",04:01 (01:20),Days of Wonder,"Days of Wonder, Asmodee Digital",
316,Jack-Orlando-Directors-Cut,4-Oct-13,$4.99,23% (63%),,"100,000?..?200,000",04:36 (04:37),Toontraxx Studios,Topware Interactive,
326,Chainsaw-Warrior,7-Oct-13,$4.99,30% (68%),,"100,000?..?200,000",00:00 (00:00),Auroch Digital,Auroch Digital,
328,Marlow-Briggs-and-the-Mask-of-Death,20-Sep-13,$4.99,80% (91%),,"100,000?..?200,000",00:00 (00:00),Zootfly,505 Games,
333,Castle-of-Illusion,4-Sep-13,$14.99,74% (89%),,"100,000?..?200,000",00:28 (00:18),"SEGA Studios Australia, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)",
344,Rush-Bros,24-May-13,$9.99,24% (64%),,"100,000?..?200,000",00:00 (00:00),XYLA Entertainment,Digital Tribe,
363,Omikron-The-Nomad-Soul,26-Sep-13,$9.99,43% (76%),,"100,000?..?200,000",00:00 (00:00),Quantic Dream,Square Enix,
373,Shufflepuck-Cantina-Deluxe,6-Dec-13,$9.99,71% (88%),,"100,000?..?200,000",00:20 (00:06),Agharta Studio,Agharta Studio,
375,TypeRider,6-Nov-13,$4.99,56% (82%),,"100,000?..?200,000",00:00 (00:00),Ex Nihilo,Plug In Digital,
380,Anomaly-Warzone-Earth-Mobile-Campaign,6-Nov-13,$4.99,47% (78%),,"100,000?..?200,000",00:52 (01:08),11 bit studios,11 bit studios,
388,Blood-Omen-2-Legacy-of-Kain,24-Sep-13,$6.99,30% (68%),,"100,000?..?200,000",00:27 (00:09),,Square Enix,
401,Finding-Teddy,3-Dec-13,$6.99,56% (82%),,"100,000?..?200,000",00:00 (00:00),Storybird,"LookAtMyGame, Plug In Digital",
402,Solar-Flux,24-Oct-13,$9.99,49% (79%),,"100,000?..?200,000",02:16 (00:45),Firebrand Games,Firebrand Games,
421,Helmet-Heroes,10-Mar-13,Free,9% (45%),,"100,000?..?200,000",00:18 (00:11),Helmet Games,Helmet Games,
423,Dungeons-Dragons-Chronicles-of-Mystara,18-Jun-13,$14.99,51% (80%),,"100,000?..?200,000",01:48 (01:48),Iron Galaxy Studios,Capcom,
437,The-Apogee-Throwback-Pack,1-Jul-13,$9.99,93% (95%),,"100,000?..?200,000",00:00 (00:00),Interceptor Entertainment,Apogee Software,
443,Not-The-Robots,12-Dec-13,$9.99,51% (80%),,"100,000?..?200,000",00:00 (00:00),2DArray,tinyBuild,
447,Hero-of-the-Kingdom,14-Nov-13,$5.99,87% (93%),,"100,000?..?200,000",02:54 (00:58),Lonely Troops,Lonely Troops,
453,Portal-2-Sixense-Perceptual-Pack,20-Sep-13,Free,9% (46%),,"100,000?..?200,000",02:04 (02:27),,Sixense,
461,Super-Sanctum-TD,9-May-13,$4.99,68% (87%),,"100,000?..?200,000",00:22 (00:07),Coffee Stain Studios,Coffee Stain Publishing,
463,Ys-I-II-Chronicles+,14-Feb-13,$14.99,71% (88%),,"100,000?..?200,000",00:06 (00:02),Nihon Falcom,XSEED Games,
480,Electronic-Super-Joy,23-Aug-13,$7.99,77% (90%),,"100,000?..?200,000",00:49 (00:57),Michael Todd Games,Michael Todd Games,
482,Ravensword-Shadowlands,6-Dec-13,$6.99,14% (54%),,"100,000?..?200,000",00:00 (00:00),Crescent Moon Games,Crescent Moon Games,
488,Draw-a-Stickman-EPIC,3-Dec-13,$3.99,45% (77%),,"100,000?..?200,000",00:00 (00:00),Hitcents,Hitcents,
491,OMSI-2-Steam-Edition,11-Dec-13,$29.99,34% (71%),,"100,000?..?200,000",05:32 (02:57),MR-Software GbR,Aerosoft GmbH,
496,Ballpoint-Universe---Infinite,17-Dec-13,$3.99,68% (87%),,"100,000?..?200,000",00:00 (00:00),Arachnid Games,Arachnid Games,
500,7-Grand-Steps-What-Ancients-Begat,7-Jun-13,$19.99,18% (59%),,"100,000?..?200,000",00:00 (00:00),Mousechief,Mousechief,
507,Super-Amazing-Wagon-Adventure,17-Oct-13,$2.99,93% (95%),,"100,000?..?200,000",00:31 (00:20),sparsevector,sparsevector,
261,7-Days-to-Die,13-Dec-13,$24.99,49% (79%),,"2,000,000?..?5,000,000",09:38 (02:35),The Fun Pimps,The Fun Pimps Entertainment LLC,
315,Space-Engineers,23-Oct-13,$24.99,68% (87%),,"2,000,000?..?5,000,000",06:57 (02:05),Keen Software House,Keen Software House,
